region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
East,,Master,182071.51761459207,0.0,1000.0,0,Personal Auto,Four-Door Car,2.704934
Central,Female,Bachelor,697953.59,0.0,94.0,0,Personal Auto,Four-Door Car,1131.464935
Central,Female,Bachelor,1288743.17,48767.0,108.0,0,Personal Auto,Two-Door Car,566.472247
West Region,Male,Bachelor,764586.18,0.0,106.0,0,Corporate Auto,SUV,529.881344
East,Male,High School or Below,536307.65,36357.0,68.0,0,Personal Auto,Four-Door Car,17.269323
North West,Female,Bachelor,825629.78,62902.0,69.0,0,Personal Auto,Two-Door Car,159.383042
North West,Female,College,538089.86,55350.0,67.0,0,Corporate Auto,Four-Door Car,321.6
Central,Male,Master,721610.03,0.0,101.0,0,Corporate Auto,Four-Door Car,363.02968
North West,Male,Bachelor,2412750.4,14072.0,71.0,0,Corporate Auto,Four-Door Car,511.2
North West,Female,College,738817.81,28812.0,93.0,0,Special Auto,Four-Door Car,425.527834
West Region,Male,College,473899.2,0.0,67.0,0,Personal Auto,Four-Door Car,482.4
West Region,,College,819719.71,0.0,110.0,0,Personal Auto,SUV,528.0
West Region,,Master,879879.7,77026.0,110.0,2,Corporate Auto,Four-Door Car,472.029737
Central,,High School or Below,881901.89,99845.0,110.0,1,Corporate Auto,SUV,528.0
West Region,,College,538443.17,83689.0,70.0,2,Corporate Auto,Four-Door Car,307.139132
North West,,Bachelor,746313.94,24599.0,64.0,1,Corporate Auto,Four-Door Car,42.920271
Central,,High School or Below,256686.78,25049.0,67.0,0,Personal Auto,Two-Door Car,454.245098
West Region,,College,394524.16,28855.0,101.0,0,Personal Auto,SUV,647.442031
North West,,College,571033.31,51148.0,72.0,0,Personal Auto,Four-Door Car,308.981664
West Region,,High School or Below,816261.71,66140.0,101.0,0,Corporate Auto,Four-Door Car,484.8
North West,,High School or Below,287205.13,57749.0,74.0,0,Personal Auto,Two-Door Car,355.2
East,Male,Bachelors,617710.93,61040.0,79.0,1,Personal Auto,Two-Door Car,20.382876
Central,,Bachelor,2412750.4,14072.0,71.0,0,Personal Auto,Four-Door Car,511.2
Central,,Bachelor,245019.1,0.0,73.0,3,Corporate Auto,Four-Door Car,554.376763
West Region,,Bachelor,239210.79,17870.0,61.0,0,Corporate Auto,Four-Door Car,439.2
North West,,College,580206.6,97541.0,72.0,0,Personal Auto,Four-Door Car,389.185006
West Region,,Bachelor,394637.21,0.0,111.0,0,Personal Auto,Four-Door Car,799.2
East,Male,College,916206.32,29723.0,80.0,0,Personal Auto,Four-Door Car,20.985105
Central,,College,1290256.01,86584.0,111.0,2,Personal Auto,Four-Door Car,532.8
North West,,Master,323536.05,75690.0,80.0,1,Personal Auto,Four-Door Car,384.0
Central,,College,245458.35,23158.0,63.0,1,Personal Auto,Four-Door Car,322.294043
Central,,High School or Below,1897545.61,65999.0,237.0,0,Corporate Auto,Luxury Vehicle,615.927769
West Region,,Bachelor,471532.13,0.0,65.0,0,Personal Auto,Four-Door Car,308.15089
East,Female,College,473787.17,0.0,130.0,0,Personal Auto,SUV,23.820158
North West,,Bachelor,493291.63,37260.0,62.0,0,Corporate Auto,Four-Door Car,15.437681
Central,,High School or Below,574422.97,68987.0,71.0,0,Personal Auto,Four-Door Car,204.475147
West Region,,Bachelor,1389173.57,42305.0,117.0,0,Personal Auto,Four-Door Car,561.6
North West,,Master,738097.67,65706.0,91.0,0,Personal Auto,Four-Door Car,436.8
North West,,Bachelor,309003.41,0.0,90.0,0,Personal Auto,Two-Door Car,648.0
Central,,High School or Below,252163.31,53243.0,66.0,2,Personal Auto,Four-Door Car,157.397849
Central,,High School or Below,265206.18,0.0,70.0,1,Corporate Auto,Two-Door Car,484.318536
North West,,College,277104.5,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
West Region,,Bachelor,393900.64,60021.0,99.0,0,Personal Auto,Four-Door Car,882.871945
Central,,High School or Below,1223187.97,43244.0,103.0,0,Personal Auto,Sports Car,494.4
East,Male,Doctor,495165.61,46896.0,35354.0,1,Personal Auto,Four-Door Car,31.707317
North West,,Doctor,1281910.29,10105.0,172.0,3,Personal Auto,SUV,0.517753
Central,,Bachelor,446851.05,0.0,73.0,3,Personal Auto,Four-Door Car,579.165954
North West,,High School or Below,551434.4,23218.0,71.0,0,Personal Auto,Two-Door Car,447.79344
West Region,,Bachelor,334387.53,0.0,92.0,0,Corporate Auto,Four-Door Car,529.624084
Central,,High School or Below,229447.89,0.0,62.0,0,Personal Auto,Four-Door Car,313.023175
North West,,College,3670742.64,24804.0,104.0,0,Personal Auto,SUV,593.830288
West Region,,Bachelor,3347334.95,33190.0,106.0,0,Corporate Auto,SUV,508.8
Central,,High School or Below,798343.17,36014.0,69.0,3,Special Auto,Four-Door Car,173.956072
East,Female,Master,487938.48,67163.0,61.0,2,Personal Auto,Two-Door Car,33.192803
West Region,,Bachelor,429399.73,16701.0,113.0,0,Personal Auto,Four-Door Car,831.625979
